Ad name,Spend,Link Click,CPC,CTR,Avg. play time,Hold Rate,Hook Rate,Message Rate,ThruPlay,Leads,CPL,MQL,CPMQL,SQL,CPSQL,Won,CPWon
Coffeeboy VP2 Testimonial,RM506,69,RM7.3,0.43%,2,2.00,0.0%,0.0%,0.0%,1,RM506,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Increased Restaurant Profit,RM130,19,RM6.8,0.42%,2,2.00,0.0%,0.0%,0.0%,1,RM130,1,RM130,0,#DIV/0!,0,#DIV/0!
Coffeeboy VP3,RM742,78,RM9.5,0.42%,2,2.00,17.3%,0.0%,7.6%,2,RM371,1,RM742,0,#DIV/0!,0,#DIV/0!
Coffeeboy VP5,RM57,5,RM11.4,0.41%,1,1.00,10.9%,0.0%,2.7%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Halloween Promo V2,RM11,1,RM10.7,0.40%,1,1.00,10.3%,0.0%,1.4%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
EN_Retail Business Types - Pet Shops,RM707,119,RM5.9,0.39%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Retail Business Types - Flower Shops,RM31,6,RM5.1,0.39%,1,1.00,0.0%,16.7%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Fun Fact,RM723,136,RM5.3,0.38%,2,2.00,0.0%,0.0%,0.0%,10,RM72,4,RM181,1,RM723,0,#DIV/0!
BAU Non Seasonal Promo,"RM55,271","6,941",RM8.0,0.38%,2,2.00,7.9%,0.6%,22.2%,393,RM141,363,RM152,127,RM435,21,"RM2,632"
That Last Slice VP2,RM281,28,RM10.0,0.38%,1,1.00,20.7%,0.0%,7.7%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
BAU Promos V1,RM636,91,RM7.0,0.37%,2,2.00,0.0%,0.0%,0.0%,2,RM318,2,RM318,0,#DIV/0!,0,#DIV/0!
"55% Promo V2, Blue + Orange","RM3,415",519,RM6.6,0.35%,2,2.00,8.7%,1.2%,62.3%,32,RM107,25,RM137,9,RM379,0,#DIV/0!
D3 KDS V1a,"RM1,872",314,RM6.0,0.35%,2,2.00,0.0%,0.0%,0.0%,14,RM134,12,RM156,1,"RM1,872",0,#DIV/0!
Coffeeboy VP3 Testimonial,RM11,1,RM10.9,0.35%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
No eInvoicing,"RM8,063","1,058",RM7.6,0.35%,2,2.00,0.0%,0.2%,0.0%,19,RM424,19,RM424,11,RM733,2,"RM4,031"
Tired Of - Human - Inventory,RM381,37,RM10.3,0.35%,2,2.00,0.0%,0.0%,0.0%,4,RM95,3,RM127,0,#DIV/0!,0,#DIV/0!
